#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T11:36:22.914 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T11_17_07_000\Test(020511832)\execution_log.txt ...
[02-05-2024T11:36:22.914 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T11:36:22.914 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T11:36:22.914 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T11:36:22.914 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T11:36:22.931 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T11:36:22.931 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T11:36:23.835 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T11:36:23.835 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T11:36:23.846 | main] INFO       ... Browser tab (2E409496409438201837EC9B91ABCAB2) allocated to the Home Page page ...
[02-05-2024T11:36:25.313 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T11:36:26.007 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T11:36:38.807 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T11:36:38.807 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T11:36:51.092 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T11:36:51.092 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T11:37:06.464 | main] INFO       ... Clicked on subcategory: Motor Insurance Solutions ...
[02-05-2024T11:37:06.464 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T11:37:06.991 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T11:37:06.991 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T11:37:06.991 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T11:37:07.409 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T11:37:07.789 | main] INFO       ... WebDriver killed ...
