#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[02-05-2024T15:14:49.118 | main] INFO       ... Log file instantiated, located at C:/Users/toluc/IdeaProjects/automation-exercise-1/execution-reports/Execution_Report-02-05-2024T15_03_17_000\Test(020515111)\execution_log.txt ...
[02-05-2024T15:14:49.118 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[02-05-2024T15:14:49.118 | main] INFO       ... Configuring WebDriver ...
[02-05-2024T15:14:49.118 | main] INFO       ... Selenium run-time environment identified as "local" ...
[02-05-2024T15:14:49.118 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[02-05-2024T15:14:49.118 | main] INFO       ... Setting Windows Platform Capabilities: ...
[02-05-2024T15:14:49.118 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[02-05-2024T15:14:49.839 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[02-05-2024T15:14:49.839 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[02-05-2024T15:14:49.839 | main] INFO       ... Browser tab (2767F84FEA4EAA006CE5A61FB84FE53E) allocated to the Home Page page ...
[02-05-2024T15:14:52.001 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[02-05-2024T15:14:52.073 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:15:04.465 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T15:15:04.465 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:15:16.654 | main] INFO       ... Click on View profile Successful ...
[02-05-2024T15:15:16.654 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:15:29.721 | main] INFO       ... Clicked on subcategory: Risk Orchestration ...
[02-05-2024T15:15:29.721 | main] INFO       ... Capturing Screenshot ...
[02-05-2024T15:15:29.879 | main] INFO       ... SCENARIO PASSED ...
[02-05-2024T15:15:29.879 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[02-05-2024T15:15:29.879 | main] INFO       ... Capturing Pass Screenshot ...
[02-05-2024T15:15:30.028 | main] INFO       ... Shutting down WebDriver gracefully ...
[02-05-2024T15:15:30.217 | main] INFO       ... WebDriver killed ...
